,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
0,nm4773820,Phat Man Dee,\N,\N,actress,"tt2099797,tt3597792",31.936716,-41.651268
1,nm9533934,Gojko Milenkovic,\N,\N,actor,tt0175164,51.458447,23.170012
2,nm15017852,Brooke Beeson,\N,\N,miscellaneous,\N,14.054021,-55.936806
3,nm2852604,Andrew Wylie,\N,\N,talent_agent,tt15275848,-47.700275,-33.28775
4,nm10713676,Mikael Romulus,\N,\N,miscellaneous,tt10369948,30.716778,30.2193
5,nm5978749,Amar Kaul,\N,\N,actor,tt3170622,59.865612,-22.19064
6,nm4723816,Jarred Baugh,\N,\N,actor,tt2084959,-56.530605,7.999265
7,nm3685714,Dawn Meredith,\N,\N,,\N,6.6261196,-27.338953
8,nm11556239,Alan Lee,\N,\N,,tt0096563,-52.562374,-36.817493
9,nm3084754,Heinz Kahnemann,1905,1977,actor,"tt0235101,tt22096968,tt22092866,tt0053846",-3.3097625,30.618845
10,nm0436748,Jana Kaminsky,\N,\N,miscellaneous,"tt0109478,tt0109588,tt0104735",24.85467,2.3075237
11,nm12903064,Mariah Galston,\N,\N,costume_department,tt15353130,-6.3199487,9.445252
12,nm4654983,Ralph Cormier,\N,\N,actor,tt1999218,14.924709,-23.458273
13,nm11959866,Umesh Adhikari,\N,\N,"cinematographer,assistant_director","tt15021288,tt12592680",71.39011,-26.462353
14,nm12227586,ElHadji Samba Fall,\N,\N,production_manager,tt13834196,37.641422,9.429996
15,nm13216377,Bujaa Beats,\N,\N,"composer,music_department,producer",\N,-0.87191993,56.54705
16,nm11986098,Diana Escobar,\N,\N,actress,tt13292010,27.42246,22.100794
17,nm4356627,Ivan Shljahtin,\N,\N,miscellaneous,tt1852822,48.130543,28.400694
18,nm13535930,Kolapo Bello,\N,\N,actor,tt19314942,43.53666,-19.799282
19,nm10584658,Aaron White,\N,\N,actor,"tt10703450,tt10106416",-57.722237,-2.355795
20,nm1288623,Diane St-Onge,\N,\N,actress,"tt0344753,tt6902606,tt0343233,tt0188370",10.258152,3.0517695
21,nm6749492,Tristan Johnson,\N,\N,"director,writer,cinematographer","tt12158808,tt4012388",14.213167,-35.586235
22,nm5707179,Irmãos Leopoldos,\N,\N,actor,tt0045116,20.208473,72.94298
23,nm4121440,Bobby Tovey,\N,\N,actor,"tt0370194,tt0185103,tt1572007,tt1116184",8.510337,-35.25815
24,nm10173141,George Watson,\N,\N,camera_department,tt9088464,-22.664217,-37.625168
25,nm13843977,Argenis Faria,\N,\N,miscellaneous,tt14620236,19.439257,62.734024
26,nm5358906,Jeff Halladay,\N,\N,"art_department,art_director","tt1534085,tt2426432",-65.0935,-20.6132
27,nm6628302,Klaasje van der Wal,1949,2018,actor,tt3860128,17.266275,31.248037
28,nm3055881,Lora Lennox,\N,\N,miscellaneous,"tt0796816,tt0494214,tt0471815,tt0829262",25.045273,-16.096317
29,nm2800497,James Shelley Jamieson,\N,\N,"location_management,miscellaneous","tt1196204,tt1371603,tt0780653,tt1511543",-24.318491,-19.75567
30,nm6556808,Adam Rivers,\N,\N,actor,tt3791430,-54.950077,1.7365888
31,nm14137179,Steve Hill,\N,\N,"cinematographer,editor",tt22771274,-55.857567,-19.71495
32,nm3580770,Will Mora,\N,\N,,tt1346520,-19.337917,-26.731344
33,nm9503077,Harriet Stratemeyer Adams,\N,\N,writer,tt7776332,8.037435,14.580231
34,nm6814313,Stephanie Jennings,\N,\N,actress,"tt6000266,tt7157146",-36.578514,59.012398
35,nm10551713,Karl Dietrich Bracher,1922,2016,,"tt1144839,tt0286398,tt10023216",-4.5094476,34.13975
36,nm0573657,Brendan McNamara,1980,\N,"casting_director,actor,casting_department","tt0111666,tt2194244,tt1978573,tt0372183",-81.68851,9.864483
37,nm10555334,Maddie Wiener,\N,\N,actor,"tt10038748,tt14695788",21.41297,6.1010795
38,nm6389135,Charles Campbell,\N,\N,"writer,actor",tt3628432,-25.394579,-36.46119
