,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,UMAP Component 1,UMAP Component 2
0,nm4773820,Phat Man Dee,\N,\N,actress,"tt2099797,tt3597792",8.563714,4.676033
1,nm9533934,Gojko Milenkovic,\N,\N,actor,tt0175164,7.177668,6.857927
2,nm15017852,Brooke Beeson,\N,\N,miscellaneous,\N,11.924232,5.523178
3,nm2852604,Andrew Wylie,\N,\N,talent_agent,tt15275848,12.06386,1.434943
4,nm10713676,Mikael Romulus,\N,\N,miscellaneous,tt10369948,8.183251,6.0409994
5,nm5978749,Amar Kaul,\N,\N,actor,tt3170622,5.3753114,4.537899
6,nm4723816,Jarred Baugh,\N,\N,actor,tt2084959,12.916119,4.264866
7,nm3685714,Dawn Meredith,\N,\N,,\N,9.660329,3.3598735
8,nm11556239,Alan Lee,\N,\N,,tt0096563,12.338608,1.7019972
9,nm3084754,Heinz Kahnemann,1905,1977,actor,"tt0235101,tt22096968,tt22092866,tt0053846",9.278325,6.8440127
10,nm0436748,Jana Kaminsky,\N,\N,miscellaneous,"tt0109478,tt0109588,tt0104735",8.490956,5.7564607
11,nm12903064,Mariah Galston,\N,\N,costume_department,tt15353130,11.134408,5.987468
12,nm4654983,Ralph Cormier,\N,\N,actor,tt1999218,8.9037285,3.6360772
13,nm11959866,Umesh Adhikari,\N,\N,"cinematographer,assistant_director","tt15021288,tt12592680",4.7267385,4.598462
14,nm12227586,ElHadji Samba Fall,\N,\N,production_manager,tt13834196,7.928327,5.831948
15,nm13216377,Bujaa Beats,\N,\N,"composer,music_department,producer",\N,11.632188,7.102882
16,nm11986098,Diana Escobar,\N,\N,actress,tt13292010,9.546625,3.342075
17,nm4356627,Ivan Shljahtin,\N,\N,miscellaneous,tt1852822,7.166198,7.1973963
18,nm13535930,Kolapo Bello,\N,\N,actor,tt19314942,6.9364147,4.3792834
19,nm10584658,Aaron White,\N,\N,actor,"tt10703450,tt10106416",13.215247,5.0073624
20,nm1288623,Diane St-Onge,\N,\N,actress,"tt0344753,tt6902606,tt0343233,tt0188370",9.152954,4.8078427
21,nm6749492,Tristan Johnson,\N,\N,"director,writer,cinematographer","tt12158808,tt4012388",8.571092,3.98093
22,nm5707179,Irmãos Leopoldos,\N,\N,actor,tt0045116,11.227459,8.842348
23,nm4121440,Bobby Tovey,\N,\N,actor,"tt0370194,tt0185103,tt1572007,tt1116184",9.408435,2.811225
24,nm10173141,George Watson,\N,\N,camera_department,tt9088464,12.151423,2.7616794
25,nm13843977,Argenis Faria,\N,\N,miscellaneous,tt14620236,8.097939,6.0404644
26,nm5358906,Jeff Halladay,\N,\N,"art_department,art_director","tt1534085,tt2426432",14.717381,4.0903935
27,nm6628302,Klaasje van der Wal,1949,2018,actor,tt3860128,8.953436,6.1288385
28,nm3055881,Lora Lennox,\N,\N,miscellaneous,"tt0796816,tt0494214,tt0471815,tt0829262",8.0534,3.777577
29,nm2800497,James Shelley Jamieson,\N,\N,"location_management,miscellaneous","tt1196204,tt1371603,tt0780653,tt1511543",12.30066,3.666193
