,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
0,nm2980671,Ehrenberg,1979,\N,"writer,director,assistant_director","tt0949401,tt2874566,tt1422019,tt0806910",Karlotta Ehrenberg,4.18324,-9.094978
1,nm3850300,James,\N,\N,"costume_department,costume_designer",tt1623172,Sara James,64.239006,-28.203426
2,nm0309567,Gates,1889,1948,"writer,script_department","tt0019813,tt0024366,tt0027628,tt0031715",Harvey Gates,45.217476,-81.81828
3,nm13116115,Birch,\N,\N,actor,\N,Logan Birch,69.16298,14.108911
4,nm14024913,Lichtenstein,\N,\N,actor,tt22004888,Jörg Lichtenstein,24.49233,38.94844
5,nm10320279,McGill,\N,\N,writer,tt9423914,Lyndon McGill,35.922718,-28.27219
6,nm11678392,,\N,\N,actress,"tt12561020,tt16538410",Taif,-16.61605,83.73294
7,nm8228368,Katzer,1973,\N,,"tt0799583,tt0759034,tt11416260,tt14857030",Catarina Katzer,3.500048,-1.4012396
8,nm6620780,Reinagel,\N,\N,actor,tt1699147,Joe Reinagel,2.619585,35.01275
9,nm0118306,Bucich,\N,\N,producer,tt0267490,Juan Bucich,15.837239,31.40929
10,nm4901328,Russell,\N,\N,actor,tt2242973,Woody Russell,31.543716,-74.81226
11,nm8654204,Vwambanji,\N,\N,camera_department,tt4667754,Musyani Vwambanji,-38.234955,44.609596
12,nm14324313,Machado,\N,\N,miscellaneous,\N,Vanice Machado,-43.897076,-52.909027
13,nm14649037,Bondoc,\N,\N,transportation_department,\N,Nelvin Bondoc,-23.460108,-21.878866
14,nm12730667,Donovan,\N,\N,actor,\N,Michael Donovan,23.895685,-68.36775
15,nm1987305,McGregor,1936,1990,composer,tt0151243,Chris McGregor,6.562448,-54.70578
16,nm14058034,Itthagarun,\N,\N,editor,tt22098382,Arnusitt Itthagarun,-37.025513,23.511953
17,nm1151497,Usher,\N,\N,cinematographer,tt0306452,Dennis Usher,79.93093,-19.45846
18,nm1995135,Marcos,\N,\N,producer,tt0337009,Nacho Marcos,-15.209892,-63.71472
19,nm11120794,Misita,\N,\N,actor,tt11258382,Borivoje Misita,-45.67559,45.2344
20,nm3248123,Blair,\N,\N,"actress,casting_department","tt5244636,tt1995474,tt8593252,tt8110640",Trisha Blair,2.6861646,-77.879745
21,nm1298941,de,1926,1993,"composer,cinematographer,soundtrack","tt0377177,tt0052246,tt0346610,tt0347049",Wolfgang de Gelmini,-2.8500931,70.35817
22,nm12486752,Saif,\N,\N,actor,tt2783416,Hani Saif,-50.77151,43.426456
23,nm12346612,López,\N,\N,,\N,Jaime López,-15.755271,-74.354324
24,nm8783227,Pereira,\N,\N,actor,tt5149108,Richard Pereira,-37.775864,-55.320885
25,nm6203901,Anrig,\N,\N,,\N,Melissa Anrig,34.167847,86.402245
26,nm6925403,Stone,\N,\N,actress,"tt5883952,tt5864030,tt8713922,tt7523066",Julia Stone,79.7353,11.433503
27,nm3614471,Labastida,\N,\N,art_department,tt0344499,Joselito Labastida,38.53574,35.907608
28,nm5471758,Hebler,\N,\N,actor,tt2573818,Alex Hebler,-6.782677,11.651134
29,nm5261392,Frett,\N,\N,"actor,production_manager","tt2386260,tt4317850,tt16610728",Anne Frett,3.3319726,20.40267
30,nm3398710,DeLuca,\N,\N,,\N,Cristina DeLuca,4.5391984,60.155514
31,nm4153218,,\N,\N,,\N,Popîzu,-17.030378,80.27567
32,nm8548019,Monteiro,\N,\N,camera_department,"tt0085098,tt0498441",Fernando Monteiro,-18.295755,-22.239452
33,nm14804618,Pettingill,\N,\N,camera_department,tt26687196,Ben Pettingill,41.494247,-4.5936904
34,nm13726053,Krol,\N,\N,executive,\N,Nicole Krol,-42.102505,21.997038
35,nm9745821,Polat,\N,\N,make_up_department,"tt12562262,tt5775012,tt7298590,tt7535900",Sibel Polat,-49.38406,-1.1005327
36,nm1374012,Stone,\N,\N,actor,tt0353917,Phil Stone,79.7353,11.433503
37,nm4970071,Maue,\N,\N,,\N,Hendrick Maue,-29.585487,36.00857
38,nm10348843,Fuller,\N,\N,miscellaneous,tt9487098,Timothy Fuller,55.351486,-62.72208
39,nm13135779,Smuidris,\N,\N,actor,"tt16123826,tt23847182",Gundars Smuidris,-5.8622484,23.776466
40,nm15093774,Ekinci,\N,\N,,\N,Sermin Ekinci,-49.7688,7.108698
41,nm5110967,Wolter,\N,\N,editor,"tt2212186,tt2212298",Inge Wolter,34.570152,28.884348
42,nm11207102,Hatanaka,\N,\N,,tt11302324,Hacchan Hatanaka,-46.810135,40.646023
43,nm6101321,Walker,\N,\N,actress,"tt3332382,tt1919148",Alex Walker,87.53588,-10.296174
44,nm11621988,Favre,\N,\N,"producer,assistant_director","tt0187385,tt0204643",Jacques Favre de Thierrens,18.727612,-24.250568
45,nm1953031,Rachwalski,\N,\N,visual_effects,tt0449040,Scott Rachwalski,-59.92563,8.879141
46,nm4615442,Lee,\N,\N,miscellaneous,tt0808357,Jessie Lee,50.766396,59.916615
47,nm3630562,Bem,\N,\N,miscellaneous,tt1346520,Samfprd. Bem,16.48517,37.78612
48,nm14293493,Peter,\N,\N,actor,tt23897176,Joe Peter Harry,52.759724,-52.045563
49,nm10743246,Elliott,\N,\N,,\N,Grant Elliott,16.143188,-81.717224
50,nm5578287,Louise,\N,\N,,tt2780220,Molly Louise Hudelson,61.86812,-9.138327
51,nm7714235,Jo,\N,\N,,\N,Martha Jo Murray,46.42676,7.839531
52,nm13563578,Grassi,\N,\N,,tt19488306,Giorgio Grassi,-23.469952,1.6742547
53,nm3608117,Blass,1984,\N,"composer,actor,make_up_department","tt4490118,tt2259946,tt3254832,tt2229499",Teddy Blass,19.59904,34.527313
54,nm12105283,Stuckert,\N,\N,,\N,Jacob Stuckert,51.74519,44.369205
55,nm5627757,Gil,\N,\N,camera_department,tt2815842,Sandra Gil Gijón,12.613274,-12.841678
56,nm5124932,Calderas,\N,\N,actress,tt2728240,Lissette Calderas,-9.306204,-25.169819
57,nm7417027,Chandler,\N,\N,,\N,Cara Chandler,28.619085,-76.17416
58,nm12457766,Grode,\N,\N,,\N,Jacob Grode,-9.815502,0.8365731
59,nm4839252,Ciukaj,\N,\N,,\N,Carol Ciukaj,-56.856617,22.071344
60,nm5227406,Takizawa,\N,\N,camera_department,tt2350790,Andrés Takizawa,-35.46938,47.37304
61,nm9519968,Sotheby,\N,\N,sound_department,tt7808852,Claude Sotheby,-49.43241,69.04368
62,nm12445307,Matthew,\N,\N,,\N,Aaron Matthew Cannon Panaligan,31.803228,-39.364445
63,nm8889474,Kasdorf,\N,\N,"assistant_director,camera_department",tt6719728,Ron Kasdorf,-41.462162,24.048609
64,nm12900843,Hector,\N,\N,,tt15348114,Spc Hector Barajas,-25.222067,-60.32461
65,nm14352881,Balfour,\N,\N,actor,tt18546296,Tarah-Mae Balfour,-5.2914653,-69.8074
66,nm1824344,Garcia,\N,\N,"actor,producer,director","tt0438255,tt6761236,tt0438509",Augusto Garcia,-23.04142,-80.86449
67,nm11752908,Thomas,\N,\N,,tt10583412,Sophie Thomas,27.164091,-93.180145
68,nm5659488,Francis,\N,\N,actor,tt1244031,H.G. Francis,56.30333,-50.859585
69,nm10662017,Sobti,\N,\N,actress,tt10270030,Hazel Sobti,-50.294956,-28.559052
70,nm11875915,Chesler,\N,\N,,\N,River Chesler,5.723876,1.1102163
71,nm2589515,Parsons,\N,\N,sound_department,"tt1477138,tt0865297,tt0989889,tt0857376",Andrew Parsons,30.12322,-81.541176
72,nm10982792,Fonteneaux,\N,\N,camera_department,tt10947462,James Fonteneaux,11.552878,3.6238952
73,nm12441529,Huhtaniemi,\N,\N,,tt14266052,Aino Huhtaniemi,-41.456837,37.22305
74,nm4163379,Tomita,\N,\N,,tt1412248,Rika Tomita,-36.20905,46.286423
75,nm5206240,Tirada,\N,\N,actress,"tt2106394,tt2631030",Stephanie Tirada,-16.803707,33.912376
76,nm14140008,Prichard,\N,\N,cinematographer,tt22779670,Jonathan Prichard,-46.627144,-9.717624
77,nm1639724,Hughes,\N,\N,sound_department,"tt4927934,tt11354258,tt0267157,tt0324692",Cliff Hughes,37.719944,-48.61079
78,nm8870490,Mack,\N,\N,producer,"tt13938106,tt6685544",Ken Mack,32.42883,-24.315914
79,nm1252678,Oh,\N,\N,producer,"tt0333416,tt0334348",Kyeong-bong Oh,31.168036,64.59279
80,nm0257173,Engelberg,\N,\N,actor,"tt0259796,tt0217177,tt0309912,tt0369400",Jacob Engelberg,3.9121644,-8.442493
81,nm11035930,Madison,\N,\N,director,"tt14716954,tt11058764",Paul Madison,51.053337,-12.12318
82,nm4475261,Gonfard,\N,\N,,\N,André Gonfard,0.13272795,51.674435
83,nm1874560,Tachibana,\N,\N,animation_department,"tt0298590,tt0376208",Naoyoshi Tachibana,-31.582008,45.512184
84,nm4552380,Kamale,\N,\N,"director,writer","tt1869253,tt20767882,tt20766186,tt5108764",Pravin Kamale,-48.074116,33.006645
85,nm5880146,Johnson,\N,\N,,tt1832727,Ron Johnson,67.80773,-39.941174
86,nm0990120,Warwick,1954,\N,,"tt0397681,tt0212693,tt0243689,tt6183700",Kevin Warwick,41.5748,-13.960731
87,nm10149316,parkinson,\N,\N,,\N,Audrey parkinson Bennett,-8.683389,-66.83457
88,nm8184802,Tolber,\N,\N,actress,tt5313994,Tiffanney Tolber,-95.18944,3.483385
89,nm2811765,Yasuhiko,\N,\N,miscellaneous,tt1130031,Saori Yasuhiko,-40.42523,56.846657
90,nm8066669,Murray,\N,\N,,"tt7092750,tt5226916",Joelle Murray,29.898895,-56.92009
91,nm14108925,Sholl,\N,\N,,\N,Sarah Sholl,21.418192,53.900005
92,nm7194083,van,\N,\N,actor,tt4527140,Richard van Huysum,-70.454506,-39.7058
93,nm12967594,Rizzo,\N,\N,actor,tt15356544,Steve Rizzo,-43.63318,-30.918957
94,nm13047350,Molinero,\N,\N,script_department,tt14908880,Laura Molinero,-21.939667,-19.861029
95,nm6013643,Andrade-Martina,\N,\N,"sound_department,composer,director","tt3153490,tt8425842,tt8372340,tt3257770",René Andrade-Martina,-6.226131,34.228058
96,nm13146114,Debro,\N,\N,actor,tt16123692,Chuck Debro,-3.8574514,65.541725
97,nm5564380,Perrine,\N,\N,actress,tt0440351,Ruth Perrine,11.484749,-7.3289394
98,nm6025446,Dunovan,\N,\N,"editor,editorial_department,visual_effects","tt5647002,tt11136638,tt2750930,tt18393774",James Dunovan,-12.060407,-39.842457
99,nm4200313,Somoza,\N,\N,"producer,director",tt1785668,Alejandro Somoza,-48.800987,71.2228
100,nm6070760,Lanmon,\N,\N,actress,tt3304520,Tiffanie Lanmon,40.167866,40.13266
101,nm4538171,Haverstock,\N,\N,,tt1984129,Linda Haverstock,-8.26802,-41.23636
102,nm1204571,Voonsri,\N,\N,actor,"tt26316587,tt27972387,tt0295145,tt28037264",Pakachon Voonsri,-69.96928,-22.39262
103,nm2659472,Nalbantis,\N,\N,,"tt1018846,tt1016143,tt1031819,tt1037948",Mihalis Nalbantis,-20.632189,54.264786
104,nm6118140,Yip,\N,\N,cinematographer,tt0098313,Wa-Sing Yip,17.072905,50.89485
105,nm13214642,Uppal,\N,\N,actor,tt16424744,Manjeet Uppal,-5.7672467,57.010998
106,nm1291289,Boucher,\N,\N,actor,tt0344697,D. Boucher,20.63257,24.191076
107,nm3565781,Sandoval,\N,\N,actress,"tt13437844,tt0439344,tt24016104,tt5868826",Estefanía Sandoval,-0.2724244,-17.663359
