,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
0,nm2224849,Kamyshanov,1975,2011,"camera_department,director,writer","tt0386693,tt1745801,tt0478737,tt1735198",Konstantin Kamyshanov,-3.151149,-0.019642336
1,nm6579237,,\N,\N,,\N,Commedus,20.454937,2.936271
2,nm10573134,Patel,\N,\N,transportation_department,"tt3319730,tt5254610",Satyan Patel,-2.0849555,-4.2915196
3,nm5390423,Miyauchi,\N,\N,producer,"tt12490694,tt2371434",Takako Miyauchi,3.6724684,10.524814
4,nm4742271,Apagian,\N,\N,,\N,Reed Apagian,-4.5137534,-0.4954769
5,nm9900756,Dix,\N,\N,actor,tt2138674,Chris Dix,-21.035065,-3.927093
6,nm0739948,Ronchi,1972,\N,"casting_director,casting_department,miscellaneous","tt1167638,tt0283832,tt1657507,tt1563738",Nicolas Ronchi,-10.740223,-1.1729785
7,nm8992856,Parag,\N,\N,producer,tt6048638,Bill Parag,0.5332031,4.8855247
8,nm14363546,Bouda,\N,\N,actor,tt24780600,Franck Bouda,-8.320918,0.24684155
9,nm14459240,Jamrozy,\N,\N,composer,\N,Jacek Jamrozy,-3.394543,-1.0851629
10,nm9165495,Dryden,\N,\N,,\N,Patty Dryden,-15.466398,2.9330812
11,nm2086448,Helena,\N,\N,art_department,tt0330790,Maria Helena Felix,-9.474463,1.4972497
12,nm0131833,Caminade,\N,\N,"make_up_department,actor,art_department","tt0291579,tt0108394,tt0111507,tt0270707",Jean-Pierre Caminade,-3.426372,-1.5189713
13,nm7031538,Javanjal,\N,\N,visual_effects,"tt5354664,tt2274648",Sandeep Javanjal,-4.139134,-1.1119697
14,nm11916815,Ernesto,\N,\N,sound_department,tt13136954,Esteban Ernesto Vázquez Aldama,-10.792267,-2.481635
15,nm11452422,Derman,\N,\N,,tt12041098,Mike Derman,-12.6410885,2.8038719
16,nm13809758,Ten,\N,\N,miscellaneous,tt19353050,Gina Ten Hoope,-4.7409363,-0.1616869
17,nm0742983,Rosier,1963,\N,"actress,soundtrack","tt0081025,tt0112055,tt0062614,tt0093635",Monique Rosier,-15.995206,1.9684654
18,nm7902746,P.,\N,\N,producer,tt4855268,Ricahrd P. Alverez,6.3966227,23.602057
19,nm5480989,Adams,\N,\N,cinematographer,tt2632740,Chris Adams,-21.025232,-3.9391458
20,nm11976135,Nchimbi,\N,\N,composer,tt6961868,Adeson Nchimbi,-3.5738802,-1.6029036
21,nm13935077,Dondey,\N,\N,costume_department,tt21627784,Mathis Dondey,-2.5814173,-1.2367476
22,nm1776364,Gorrey,\N,\N,miscellaneous,tt0430756,Andrew Gorrey,-2.5594194,-1.3394768
23,nm14924766,Sweeney,\N,\N,actor,\N,Jennifer Sweeney,-15.1309805,1.4769878
24,nm5217880,Murci-Tasci,\N,\N,actor,tt2339958,Mizbah Murci-Tasci,-3.4522429,-0.9470117
25,nm5378221,Richardson,\N,\N,,tt2378543,Greg Richardson,-16.767084,2.6688962
26,nm11650511,Juss,\N,\N,producer,"tt12485446,tt11686750,tt15470052,tt13053464",Jaanus Juss,0.21604808,4.734917
27,nm13740984,Keisuke,\N,\N,assistant_director,tt15830678,Warita Keisuke,3.8412166,10.669307
28,nm1293347,Ledic,1892,1981,"director,producer,writer","tt0346479,tt0347822,tt0345047,tt0346510",Franjo Ledic,-3.9491906,-1.401785
29,nm14057845,Quiropoyetas,\N,\N,editor,tt0499394,Ana Quiropoyetas,-3.5440795,-0.39592758
30,nm0945509,Yamamoto,\N,\N,"producer,production_manager","tt0189284,tt0073918,tt0202936,tt0082601",Yoshio Yamamoto,3.9930532,10.784002
31,nm0206972,Vieira,\N,\N,"actor,composer,music_department","tt0096206,tt2614400,tt0108471,tt0472778",Nuno Vieira de Almeida,-5.847058,8.802617
32,nm10210098,Hua,\N,\N,actor,tt8407492,Kong Hua Thao,-4.9911623,21.518654
33,nm0890972,E.,\N,\N,"miscellaneous,stunts","tt0082175,tt0098282,tt0093029,tt0088979",Suzanne E. Vaucher,-3.565413,22.199688
34,nm6366227,Ernesto,\N,\N,,"tt13392500,tt15275848,tt3603986",Rocco Ernesto Pooth,-10.796021,-2.4941702
35,nm13331286,V.K.,\N,\N,stunts,tt16744046,Vino V.K.,0.69190645,4.742666
